iter	Passed	Remaining
495	8139	8270
496	8152	8250
497	8163	8229
498	8174	8206
499	8184	8184
500	8193	8160
501	8202	8137
502	8213	8115
503	8251	8120
504	8295	8131
505	8311	8114
506	8328	8098
507	8341	8079
508	8354	8058
509	8364	8036
510	8376	8015
511	8387	7994
512	8396	7970
513	8406	7948
514	8415	7925
515	8423	7901
516	8433	7878
517	8442	7855
518	8484	7862
519	8529	7873
520	8547	7858
521	8563	7841
522	8576	7822
523	8589	7802
524	8600	7781
525	8612	7760
526	8621	7738
527	8631	7715
528	8640	7693
529	8649	7669
530	8658	7647
531	8667	7624
532	8676	7601
533	8717	7607
534	8760	7614
535	8779	7599
536	8793	7581
537	8806	7562
538	8819	7543
539	8831	7522
540	8841	7501
541	8850	7478
542	8860	7456
543	8868	7434
544	8878	7412
545	8887	7390
546	8926	7392
547	8969	7397
548	8995	7390
549	9015	7376
550	9033	7361
551	9047	7343
552	9061	7324
553	9071	7303
554	9083	7283
555	9094	7262
556	9106	7242
557	9115	7220
558	9126	7200
559	9137	7179
560	9147	7157
561	9157	7136
562	9167	7115
563	9176	7093
564	9186	7072
565	9195	7050
566	9204	7029
567	9228	7019
568	9271	7022
569	9318	7029
570	9341	7018
571	9359	7002
572	9373	6985
573	9391	6970
574	9403	6950
575	9415	6931
576	9426	6910
577	9437	6890
578	9448	6870
579	9457	6848
580	9466	6827
581	9477	6806
582	9486	6785
583	9495	6764
584	9505	6742
585	9525	6729
586	9548	6718
587	9597	6725
588	9622	6714
589	9639	6698
590	9656	6682
591	9670	6664
592	9684	6646
593	9696	6627
594	9706	6606
595	9718	6587
596	9728	6567
597	9740	6547
598	9750	6527
599	9759	6506
600	9768	6485
601	9778	6464
602	9788	6444
603	9797	6423
604	9811	6405
605	9831	6392
606	9856	6381
607	9896	6380
608	9921	6369
609	9937	6353
610	9954	6337
611	9968	6319
612	9981	6301
613	9993	6282
614	10005	6263
615	10015	6243
616	10027	6224
617	10036	6203
618	10046	6183
619	10056	6163
620	10066	6143
621	10076	6123
622	10085	6103
623	10095	6083
624	10112	6067
625	10133	6054
626	10163	6046
627	10198	6041
628	10221	6028
629	10237	6012
630	10253	5996
631	10266	5978
632	10280	5960
633	10290	5940
634	10300	5920
635	10312	5901
636	10323	5883
637	10335	5864
638	10345	5844
639	10355	5825
640	10366	5805
641	10375	5785
642	10387	5767
643	10397	5747
644	10405	5727
645	10414	5707
646	10423	5686
647	10432	5667
648	10441	5647
649	10450	5627
650	10491	5624
651	10533	5622
652	10556	5609
653	10573	5594
654	10588	5577
655	10603	5560
656	10615	5541
657	10626	5523
658	10638	5504
659	10647	5485
660	10656	5465
661	10667	5446
662	10676	5426
663	10685	5407
664	10695	5387
665	10704	5368
666	10713	5348
667	10723	5329
668	10765	5326
669	10809	5323
670	10824	5307
671	10838	5290
672	10850	5272
673	10862	5254
674	10874	5235
675	10885	5217
676	10896	5199
677	10907	5180
678	10917	5161
679	10927	5142
680	10937	5123
681	10947	5104
682	10957	5085
683	10966	5066
684	10975	5047
685	10984	5028
686	11004	5013
687	11045	5009
688	11083	5002
689	11107	4990
690	11124	4974
691	11139	4958
692	11153	4940
693	11166	4923
694	11178	4905
695	11190	4887
696	11200	4869
697	11211	4850
698	11222	4832
699	11231	4813
700	11241	4794
701	11251	4776
702	11260	4757
703	11269	4738
704	11279	4719
705	11297	4704
706	11323	4692
707	11366	4687
708	11392	4675
709	11413	4661
710	11434	4647
711	11448	4630
712	11461	4613
713	11473	4595
714	11485	4577
715	11495	4559
716	11506	4541
717	11515	4522
718	11525	4504
719	11534	4485
720	11543	4467
721	11553	4448
722	11562	4430
723	11572	4411
724	11583	4393
725	11625	4387
726	11669	4381
727	11693	4368
728	11711	4353
729	11727	4337
730	11741	4320
731	11754	4303
732	11766	4286
733	11778	4268
734	11789	4250
735	11800	4232
736	11811	4214
737	11821	4196
738	11831	4178
739	11840	4160
740	11850	4141
741	11859	4123
742	11869	4105
743	11878	4087
744	11888	4069
745	11898	4051
746	11913	4034
747	11933	4020
748	11969	4011
749	12003	4001
750	12026	3987
751	12043	3971
752	12058	3955
753	12075	3939
754	12088	3922
755	12099	3905
756	12111	3887
757	12121	3870
758	12131	3852
759	12142	3834
760	12152	3816
761	12162	3798
762	12171	3780
763	12180	3762
764	12190	3744
765	12200	3727
766	12228	3714
767	12265	3705
768	12296	3693
769	12316	3678
770	12332	3662
771	12347	3646
772	12361	3630
773	12373	3613
774	12385	3595
775	12398	3578
776	12408	3561
777	12417	3543
778	12428	3525
779	12437	3507
780	12446	3490
781	12456	3472
782	12465	3454
783	12475	3437
784	12484	3419
785	12520	3408
786	12563	3400
787	12592	3387
788	12612	3372
789	12629	3357
790	12644	3340
791	12658	3324
792	12670	3307
793	12681	3290
794	12691	3272
795	12702	3255
796	12712	3238
797	12723	3220
798	12733	3203
799	12743	3185
800	12752	3168
801	12762	3150
802	12770	3133
803	12780	3115
804	12789	3098
805	12799	3080
806	12808	3063
807	12850	3053
808	12891	3043
809	12918	3030
810	12937	3015
811	12955	2999
812	12969	2983
813	12982	2966
814	12995	2950
815	13007	2933
816	13019	2916
817	13030	2899
818	13040	2881
819	13051	2864
820	13062	2847
821	13072	2830
822	13082	2813
823	13092	2796
824	13101	2779
825	13110	2761
826	13120	2744
827	13129	2727
828	13140	2710
829	13149	2693
830	13158	2676
831	13169	2659
832	13209	2648
833	13252	2637
834	13280	2624
835	13302	2609
836	13318	2593
837	13332	2577
838	13346	2561
839	13358	2544
840	13370	2527
841	13382	2511
842	13394	2494
843	13408	2478
844	13419	2461
845	13429	2444
846	13439	2427
847	13449	2410
848	13459	2393
849	13468	2376
850	13478	2359
851	13488	2343
852	13511	2328
853	13553	2317
854	13587	2304
855	13605	2288
856	13620	2272
857	13634	2256
858	13647	2240
859	13659	2223
860	13670	2206
861	13680	2190
862	13690	2173
863	13701	2156
864	13712	2140
865	13722	2123
866	13732	2106
867	13743	2090
868	13753	2073
869	13763	2056
870	13773	2039
871	13782	2023
872	13792	2006
873	13801	1989
874	13811	1973
875	13820	1956
876	13829	1939
877	13838	1922
878	13852	1906
879	13905	1896
880	13942	1883
881	13966	1868
882	13984	1853
883	14001	1837
884	14015	1821
885	14028	1805
886	14040	1788
887	14051	1772
888	14061	1755
889	14071	1739
890	14081	1722
891	14091	1706
892	14099	1689
893	14109	1672
894	14118	1656
895	14128	1639
896	14136	1623
897	14146	1606
898	14172	1592
899	14214	1579
900	14245	1565
901	14266	1550
902	14283	1534
903	14298	1518
904	14312	1502
905	14325	1486
906	14337	1470
907	14349	1453
908	14359	1437
909	14370	1421
910	14381	1404
911	14390	1388
912	14400	1372
913	14412	1356
914	14421	1339
915	14431	1323
916	14441	1307
917	14488	1294
918	14532	1280
919	14556	1265
920	14575	1250
921	14591	1234
922	14604	1218
923	14618	1202
924	14630	1186
925	14642	1170
926	14653	1153
927	14664	1137
928	14674	1121
929	14683	1105
930	14692	1088
931	14702	1072
932	14712	1056
933	14721	1040
934	14731	1024
935	14743	1008
936	14760	992
937	14777	976
938	14795	961
939	14814	945
940	14828	929
941	14842	913
942	14856	897
943	14867	881
944	14878	865
945	14889	849
946	14899	833
947	14909	817
948	14919	801
949	14928	785
950	14938	769
951	14994	756
952	15034	741
953	15059	726
954	15077	710
955	15092	694
956	15106	678
957	15117	662
958	15128	646
959	15140	630
960	15151	614
961	15162	598
962	15172	582
963	15183	567
964	15192	551
965	15202	535
966	15211	519
967	15221	503
968	15231	487
969	15255	471
970	15299	456
971	15334	441
972	15357	426
973	15374	410
974	15389	394
975	15402	378
976	15418	362
977	15430	347
978	15442	331
979	15453	315
980	15464	299
981	15474	283
982	15484	267
983	15493	251
984	15502	236
985	15512	220
986	15521	204
987	15530	188
988	15549	172
989	15582	157
990	15624	141
991	15647	126
992	15664	110
993	15681	94
994	15696	78
995	15711	63
996	15722	47
997	15734	31
998	15745	15
999	15755	0
